test,p_raw,p_fdr
gold__dice_vb__sex,0.9792798492011019,0.9819583417989696
gold__dice_disc__sex,0.5296653046034592,0.9819583417989696
gold__dice_macro__sex,0.5364907668188559,0.9819583417989696
gold__dice_vb__race_wb,0.3818909832016123,0.9819583417989696
gold__dice_disc__race_wb,0.9263658596206489,0.9819583417989696
gold__dice_macro__race_wb,0.8035015976435633,0.9819583417989696
gold__dice_vb__race_wbo,0.5944385989699339,0.9819583417989696
gold__dice_disc__race_wbo,0.7899959055493312,0.9819583417989696
gold__dice_macro__race_wbo,0.8085582866293953,0.9819583417989696
gold__dice_vb__race_wn,0.6429467179020303,0.9819583417989696
gold__dice_disc__race_wn,0.8387253852101739,0.9819583417989696
gold__dice_macro__race_wn,0.9819583417989696,0.9819583417989696
gold__dice_vb__age_3bin,0.3918406020262969,0.9819583417989696
gold__dice_disc__age_3bin,0.015088130209784952,0.20979674572292906
gold__dice_macro__age_3bin,0.02997096367470415,0.20979674572292906
gold__dice_vb__age_median,0.4051422576617224,0.9819583417989696
gold__dice_disc__age_median,0.028532936515954743,0.20979674572292906
gold__dice_macro__age_median,0.05425921409222026,0.2848608739841564
gold__dice_vb__ethnicity,0.8845937654992153,0.9819583417989696
gold__dice_disc__ethnicity,0.5321484193417245,0.9819583417989696
gold__dice_macro__ethnicity,0.7780500465786504,0.9819583417989696
