test,p_raw,p_fdr
all__dice_vb__sex,0.5017857270663199,0.9093187243650972
all__dice_disc__sex,0.6320006887095311,0.9093187243650972
all__dice_macro__sex,0.5489102004176954,0.9093187243650972
all__dice_vb__race_wb,0.5039039494219935,0.9093187243650972
all__dice_disc__race_wb,0.48208601526858386,0.9093187243650972
all__dice_macro__race_wb,0.5134115528732457,0.9093187243650972
all__dice_vb__race_wbo,0.7884534948499342,0.9195764690735377
all__dice_disc__race_wbo,0.7796073461065498,0.9195764690735377
all__dice_macro__race_wbo,0.8319977577332008,0.9195764690735377
all__dice_vb__race_wn,0.6269650963704074,0.9093187243650972
all__dice_disc__race_wn,0.4810914885980485,0.9093187243650972
all__dice_macro__race_wn,0.5537478380247411,0.9093187243650972
all__dice_vb__age_3bin,0.649513374546498,0.9093187243650972
all__dice_disc__age_3bin,0.9319789624629727,0.9752116532687797
all__dice_macro__age_3bin,0.9752116532687797,0.9752116532687797
all__dice_vb__age_median,0.3091944677811618,0.9093187243650972
all__dice_disc__age_median,0.802906484415326,0.9195764690735377
all__dice_macro__age_median,0.6060804840660003,0.9093187243650972
all__dice_vb__ethnicity,0.07695963973659564,0.9093187243650972
all__dice_disc__ethnicity,0.2787008179116889,0.9093187243650972
all__dice_macro__ethnicity,0.1697439324118567,0.9093187243650972
