test,p_raw,p_fdr
silver__dice_vb__sex,0.5174646964117935,0.6392210955675096
silver__dice_disc__sex,0.08930912312948484,0.21198128488862225
silver__dice_macro__sex,0.18258386084173606,0.3393001877853619
silver__dice_vb__race_wb,0.09084912209512382,0.21198128488862225
silver__dice_disc__race_wb,0.030947822526150758,0.21198128488862225
silver__dice_macro__race_wb,0.041494153551290706,0.21198128488862225
silver__dice_vb__race_wbo,0.22007653232066063,0.35550824451799024
silver__dice_disc__race_wbo,0.04499307178660174,0.21198128488862225
silver__dice_macro__race_wbo,0.07572484180433477,0.21198128488862225
silver__dice_vb__race_wn,0.10257888748653671,0.2154156637217271
silver__dice_disc__race_wn,0.08637082491410128,0.21198128488862225
silver__dice_macro__race_wn,0.08557862924246969,0.21198128488862225
silver__dice_vb__age_3bin,0.8108420067535516,0.8108420067535516
silver__dice_disc__age_3bin,0.03833594145141304,0.21198128488862225
silver__dice_macro__age_3bin,0.23785281853593687,0.3567792278039053
silver__dice_vb__age_median,0.742457579465256,0.7795804584385189
silver__dice_disc__age_median,0.19388582159163537,0.3393001877853619
silver__dice_macro__age_median,0.3573026700127411,0.46895975439172266
silver__dice_vb__ethnicity,0.5748799860347384,0.6706933170405283
silver__dice_disc__ethnicity,0.3008167184129478,0.4211434057781269
silver__dice_macro__ethnicity,0.676866295090961,0.7481153787847463
