test,p_raw,p_fdr
gold_trained__dice_vb__sex,0.8151821763775877,0.9909785942676075
gold_trained__dice_disc__sex,0.6438678930178525,0.9909785942676075
gold_trained__dice_macro__sex,0.557229114060276,0.9909785942676075
gold_trained__hd95_vb__sex,0.3250112991293377,0.986673600288908
gold_trained__hd95_disc__sex,0.9127814604569928,0.9909785942676075
gold_trained__hd95_macro__sex,0.4056009717784914,0.986673600288908
gold_trained__ndsc_vb__sex,0.2222096502460259,0.8457436977428346
gold_trained__ndsc_disc__sex,0.10848151526883529,0.5482471953714233
gold_trained__ndsc_macro__sex,0.11313037364807148,0.5482471953714233
gold_trained__dice_vb__race_wb,0.374198966798048,0.986673600288908
gold_trained__dice_disc__race_wb,0.7815848488640755,0.9909785942676075
gold_trained__dice_macro__race_wb,0.738283745368449,0.9909785942676075
gold_trained__hd95_vb__race_wb,0.43687170764447847,0.986673600288908
gold_trained__hd95_disc__race_wb,0.7261457324936054,0.9909785942676075
gold_trained__hd95_macro__race_wb,0.4723456833775984,0.9878164853543994
gold_trained__ndsc_vb__race_wb,0.42178601181568354,0.986673600288908
gold_trained__ndsc_disc__race_wb,0.8477850656633212,0.9909785942676075
gold_trained__ndsc_macro__race_wb,0.7925227320535476,0.9909785942676075
gold_trained__dice_vb__race_wbo,0.5593857229587215,0.9909785942676075
gold_trained__dice_disc__race_wbo,0.7586997920860012,0.9909785942676075
gold_trained__dice_macro__race_wbo,0.8121303538037292,0.9909785942676075
gold_trained__hd95_vb__race_wbo,0.3911917958729194,0.986673600288908
gold_trained__hd95_disc__race_wbo,0.8202916901618944,0.9909785942676075
gold_trained__hd95_macro__race_wbo,0.7536603344142205,0.9909785942676075
gold_trained__ndsc_vb__race_wbo,0.48606842930137106,0.9878164853543994
gold_trained__ndsc_disc__race_wbo,0.7478985205395583,0.9909785942676075
gold_trained__ndsc_macro__race_wbo,0.7372153672612067,0.9909785942676075
gold_trained__dice_vb__race_wn,0.6268278248198148,0.9909785942676075
gold_trained__dice_disc__race_wn,0.9639259070546479,0.9909785942676075
gold_trained__dice_macro__race_wn,0.9279255169378481,0.9909785942676075
gold_trained__hd95_vb__race_wn,0.9187415888567939,0.9909785942676075
gold_trained__hd95_disc__race_wn,0.5664073506741434,0.9909785942676075
gold_trained__hd95_macro__race_wn,0.47595901380556727,0.9878164853543994
gold_trained__ndsc_vb__race_wn,0.7861099259275597,0.9909785942676075
gold_trained__ndsc_disc__race_wn,0.8831401885813643,0.9909785942676075
gold_trained__ndsc_macro__race_wn,0.9909785942676075,0.9909785942676075
gold_trained__dice_vb__age_3bin,0.24164105649795273,0.8457436977428346
gold_trained__dice_disc__age_3bin,0.014428207212065182,0.18140541987107933
gold_trained__dice_macro__age_3bin,0.022218874169305302,0.19996986752374774
gold_trained__hd95_vb__age_3bin,0.37210979959384144,0.986673600288908
gold_trained__hd95_disc__age_3bin,0.6074298799423732,0.9909785942676075
gold_trained__hd95_macro__age_3bin,0.5939806893640436,0.9909785942676075
gold_trained__ndsc_vb__age_3bin,0.08601066772894947,0.5418672066923816
gold_trained__ndsc_disc__age_3bin,0.001939931952196735,0.06110785649419716
gold_trained__ndsc_macro__age_3bin,0.0051567888690178,0.08744091931446524
gold_trained__dice_vb__age_median,0.20887590631515196,0.8457436977428346
gold_trained__dice_disc__age_median,0.017276706654388508,0.18140541987107933
gold_trained__dice_macro__age_median,0.033482317131736966,0.26367324741242865
gold_trained__hd95_vb__age_median,0.2358055010742961,0.8457436977428346
gold_trained__hd95_disc__age_median,0.3738455965915918,0.986673600288908
gold_trained__hd95_macro__age_median,0.4385216001284036,0.986673600288908
gold_trained__ndsc_vb__age_median,0.06272540669190785,0.43907784684335494
gold_trained__ndsc_disc__age_median,0.0015480777727919987,0.06110785649419716
gold_trained__ndsc_macro__age_median,0.005551804400918427,0.08744091931446524
gold_trained__dice_vb__ethnicity,0.7133199058363862,0.9909785942676075
gold_trained__dice_disc__ethnicity,0.42537887421127923,0.986673600288908
gold_trained__dice_macro__ethnicity,0.9795675105504529,0.9909785942676075
gold_trained__hd95_vb__ethnicity,0.9582369174144209,0.9909785942676075
gold_trained__hd95_disc__ethnicity,0.11156909487942067,0.5482471953714233
gold_trained__hd95_macro__ethnicity,0.21939137245343676,0.8457436977428346
gold_trained__ndsc_vb__ethnicity,0.8711248586691964,0.9909785942676075
gold_trained__ndsc_disc__ethnicity,0.7133199058363862,0.9909785942676075
gold_trained__ndsc_macro__ethnicity,0.9387540167261408,0.9909785942676075
