test,p_raw,p_fdr
mixed__dice_vb__sex,0.9792798492011019,0.9977963795699207
mixed__dice_disc__sex,0.5296653046034592,0.9969754578913388
mixed__dice_macro__sex,0.5364907668188559,0.9969754578913388
mixed__hd95_vb__sex,0.4786116237127289,0.9969754578913388
mixed__hd95_disc__sex,0.9750157143675888,0.9977963795699207
mixed__hd95_macro__sex,0.6927506554351446,0.9969754578913388
mixed__ndsc_vb__sex,0.2730748325433041,0.9969754578913388
mixed__ndsc_disc__sex,0.0765149459259862,0.5154481965587633
mixed__ndsc_macro__sex,0.08940320390433726,0.5154481965587633
mixed__dice_vb__race_wb,0.3818909832016123,0.9969754578913388
mixed__dice_disc__race_wb,0.9263658596206489,0.9977963795699207
mixed__dice_macro__race_wb,0.8035015976435633,0.9969754578913388
mixed__hd95_vb__race_wb,0.35352110870202047,0.9969754578913388
mixed__hd95_disc__race_wb,0.8022717872231526,0.9969754578913388
mixed__hd95_macro__race_wb,0.5125876509460067,0.9969754578913388
mixed__ndsc_vb__race_wb,0.5743765307021882,0.9969754578913388
mixed__ndsc_disc__race_wb,0.9376690174029738,0.9977963795699207
mixed__ndsc_macro__race_wb,0.7169311195962902,0.9969754578913388
mixed__dice_vb__race_wbo,0.5944385989699339,0.9969754578913388
mixed__dice_disc__race_wbo,0.7899959055493312,0.9969754578913388
mixed__dice_macro__race_wbo,0.8085582866293953,0.9969754578913388
mixed__hd95_vb__race_wbo,0.4739752690937129,0.9969754578913388
mixed__hd95_disc__race_wbo,0.9672350716182337,0.9977963795699207
mixed__hd95_macro__race_wbo,0.7869270623299722,0.9969754578913388
mixed__ndsc_vb__race_wbo,0.6397377660330106,0.9969754578913388
mixed__ndsc_disc__race_wbo,0.7912892940364475,0.9969754578913388
mixed__ndsc_macro__race_wbo,0.7181593383181275,0.9969754578913388
mixed__dice_vb__race_wn,0.6429467179020303,0.9969754578913388
mixed__dice_disc__race_wn,0.8387253852101739,0.9969754578913388
mixed__dice_macro__race_wn,0.9819583417989696,0.9977963795699207
mixed__hd95_vb__race_wn,0.6789242951397144,0.9969754578913388
mixed__hd95_disc__race_wn,0.8114126933253719,0.9969754578913388
mixed__hd95_macro__race_wn,0.5188812048572008,0.9969754578913388
mixed__ndsc_vb__race_wn,0.9099758814036156,0.9977963795699207
mixed__ndsc_disc__race_wn,0.8298990600478868,0.9969754578913388
mixed__ndsc_macro__race_wn,1.0,1.0
mixed__dice_vb__age_3bin,0.3918406020262969,0.9969754578913388
mixed__dice_disc__age_3bin,0.015088130209784952,0.1901104406432904
mixed__dice_macro__age_3bin,0.02997096367470415,0.26973867307233734
mixed__hd95_vb__age_3bin,0.6343289926887862,0.9969754578913388
mixed__hd95_disc__age_3bin,0.45432126370949677,0.9969754578913388
mixed__hd95_macro__age_3bin,0.8289385671835542,0.9969754578913388
mixed__ndsc_vb__age_3bin,0.17177084392224998,0.8324279359309038
mixed__ndsc_disc__age_3bin,0.002230265354527927,0.13240718378186098
mixed__ndsc_macro__age_3bin,0.006526491747558262,0.13240718378186098
mixed__dice_vb__age_median,0.4051422576617224,0.9969754578913388
mixed__dice_disc__age_median,0.028532936515954743,0.26973867307233734
mixed__dice_macro__age_median,0.05425921409222026,0.4272913109762346
mixed__hd95_vb__age_median,0.38888110630991746,0.9969754578913388
mixed__hd95_disc__age_median,0.45239184831964596,0.9969754578913388
mixed__hd95_macro__age_median,0.8236075368482649,0.9969754578913388
mixed__ndsc_vb__age_median,0.09279161699125327,0.5154481965587633
mixed__ndsc_disc__age_median,0.004408149695652899,0.13240718378186098
mixed__ndsc_macro__age_median,0.008406805319483237,0.13240718378186098
mixed__dice_vb__ethnicity,0.8845937654992153,0.9977963795699207
mixed__dice_disc__ethnicity,0.5321484193417245,0.9969754578913388
mixed__dice_macro__ethnicity,0.7780500465786504,0.9969754578913388
mixed__hd95_vb__ethnicity,0.3731100353898026,0.9969754578913388
mixed__hd95_disc__ethnicity,0.09818060886833585,0.5154481965587633
mixed__hd95_macro__ethnicity,0.21603066104208968,0.9721379746894036
mixed__ndsc_vb__ethnicity,0.7005927030699335,0.9969754578913388
mixed__ndsc_disc__ethnicity,0.7649690047805203,0.9969754578913388
mixed__ndsc_macro__ethnicity,0.8980949369888603,0.9977963795699207
