test,p_raw,p_fdr
silver_trained__dice_vb__sex,0.6588364291638003,0.964290955126718
silver_trained__dice_disc__sex,0.5642276327484919,0.964290955126718
silver_trained__dice_macro__sex,0.41477826209606883,0.964290955126718
silver_trained__hd95_vb__sex,0.2516949570178666,0.9588112047401042
silver_trained__hd95_disc__sex,0.7661983310779971,0.964290955126718
silver_trained__hd95_macro__sex,0.42937232698081096,0.964290955126718
silver_trained__ndsc_vb__sex,0.144396219173407,0.6497829862803316
silver_trained__ndsc_disc__sex,0.07312453379174125,0.4188041480799726
silver_trained__ndsc_macro__sex,0.0667122800902712,0.4188041480799726
silver_trained__dice_vb__race_wb,0.6237611447912996,0.964290955126718
silver_trained__dice_disc__race_wb,0.9943278189504507,0.9943278189504507
silver_trained__dice_macro__race_wb,0.9263658596206489,0.964290955126718
silver_trained__hd95_vb__race_wb,0.7643508663783086,0.964290955126718
silver_trained__hd95_disc__race_wb,0.8525510567769126,0.964290955126718
silver_trained__hd95_macro__race_wb,0.7433510837155148,0.964290955126718
silver_trained__ndsc_vb__race_wb,0.8035015976435633,0.964290955126718
silver_trained__ndsc_disc__race_wb,0.948984749489786,0.964290955126718
silver_trained__ndsc_macro__race_wb,0.8813241932618919,0.964290955126718
silver_trained__dice_vb__race_wbo,0.776480676833728,0.964290955126718
silver_trained__dice_disc__race_wbo,0.726504094005203,0.964290955126718
silver_trained__dice_macro__race_wbo,0.8356558164675612,0.964290955126718
silver_trained__hd95_vb__race_wbo,0.4385780553513987,0.964290955126718
silver_trained__hd95_disc__race_wbo,0.9409278293279424,0.964290955126718
silver_trained__hd95_macro__race_wbo,0.939733527790416,0.964290955126718
silver_trained__ndsc_vb__race_wbo,0.6698246271102044,0.964290955126718
silver_trained__ndsc_disc__race_wbo,0.7440403367125266,0.964290955126718
silver_trained__ndsc_macro__race_wbo,0.7152754280041461,0.964290955126718
silver_trained__dice_vb__race_wn,0.8387253852101739,0.964290955126718
silver_trained__dice_disc__race_wn,0.7090534951800251,0.964290955126718
silver_trained__dice_macro__race_wn,0.8742231284118437,0.964290955126718
silver_trained__hd95_vb__race_wn,0.7251514576668935,0.964290955126718
silver_trained__hd95_disc__race_wn,0.7548303461640462,0.964290955126718
silver_trained__hd95_macro__race_wn,0.7384856800378571,0.964290955126718
silver_trained__ndsc_vb__race_wn,0.8653220139325859,0.964290955126718
silver_trained__ndsc_disc__race_wn,0.7774279703019403,0.964290955126718
silver_trained__ndsc_macro__race_wn,0.8210941484201355,0.964290955126718
silver_trained__dice_vb__age_3bin,0.28586154679432285,0.964290955126718
silver_trained__dice_disc__age_3bin,0.0139476888907226,0.17574088002310476
silver_trained__dice_macro__age_3bin,0.03191476150739356,0.28723285356654205
silver_trained__hd95_vb__age_3bin,0.4476587187145492,0.964290955126718
silver_trained__hd95_disc__age_3bin,0.36745416190843777,0.964290955126718
silver_trained__hd95_macro__age_3bin,0.6546088974965792,0.964290955126718
silver_trained__ndsc_vb__age_3bin,0.09786531640657391,0.5137929111345131
silver_trained__ndsc_disc__age_3bin,0.002588486267547076,0.10612687451526777
silver_trained__ndsc_macro__age_3bin,0.005996279157854553,0.10612687451526777
silver_trained__dice_vb__age_median,0.25872683302510746,0.9588112047401042
silver_trained__dice_disc__age_median,0.01778035324729005,0.1866937090965455
silver_trained__dice_macro__age_median,0.05836489545683986,0.4188041480799726
silver_trained__hd95_vb__age_median,0.2922488688305015,0.964290955126718
silver_trained__hd95_disc__age_median,0.5158314958848754,0.964290955126718
silver_trained__hd95_macro__age_median,0.6711321583744378,0.964290955126718
silver_trained__ndsc_vb__age_median,0.06577947821919754,0.4188041480799726
silver_trained__ndsc_disc__age_median,0.003986998832776347,0.10612687451526777
silver_trained__ndsc_macro__age_median,0.006738214254937635,0.10612687451526777
silver_trained__dice_vb__ethnicity,0.8711248586691964,0.964290955126718
silver_trained__dice_disc__ethnicity,0.4771923225675124,0.964290955126718
silver_trained__dice_macro__ethnicity,0.7519520891559558,0.964290955126718
silver_trained__hd95_vb__ethnicity,0.4902737838018154,0.964290955126718
silver_trained__hd95_disc__ethnicity,0.11958656085959705,0.5795348718580473
silver_trained__hd95_macro__ethnicity,0.253727765103702,0.9588112047401042
silver_trained__ndsc_vb__ethnicity,0.6629056151919439,0.964290955126718
silver_trained__ndsc_disc__ethnicity,0.6879459476404052,0.964290955126718
silver_trained__ndsc_macro__ethnicity,0.8980949369888603,0.964290955126718
