threshold,dir,dpd,best_group,worst_group,best_rate,worst_rate,grouping,score
0.7,0.9736842105263158,0.02631578947368418,Female,Male,1.0,0.9736842105263158,sex,dice_macro
0.75,1.0,0.0,Female,Female,0.9736842105263158,0.9736842105263158,sex,dice_macro
0.8,0.9459459459459459,0.052631578947368474,Male,Female,0.9736842105263158,0.9210526315789473,sex,dice_macro
0.85,0.9393939393939393,0.052631578947368474,Male,Female,0.868421052631579,0.8157894736842105,sex,dice_macro
0.9,0.909090909090909,0.052631578947368474,Female,Male,0.5789473684210527,0.5263157894736842,sex,dice_macro
2.0,0.84,0.10526315789473684,Male,Female,0.6578947368421053,0.5526315789473685,sex,hd95_macro
5.0,0.8823529411764706,0.10526315789473684,Male,Female,0.8947368421052632,0.7894736842105263,sex,hd95_macro
10.0,0.9722222222222222,0.02631578947368418,Male,Female,0.9473684210526315,0.9210526315789473,sex,hd95_macro
0.7,0.9736842105263158,0.02631578947368418,Female,Male,1.0,0.9736842105263158,sex,ndsc_macro
0.75,0.9736842105263158,0.02631578947368418,Female,Male,1.0,0.9736842105263158,sex,ndsc_macro
0.8,1.0,0.0,Female,Female,0.9736842105263158,0.9736842105263158,sex,ndsc_macro
0.85,0.9705882352941176,0.02631578947368418,Male,Female,0.8947368421052632,0.868421052631579,sex,ndsc_macro
0.9,0.6923076923076923,0.21052631578947373,Female,Male,0.6842105263157895,0.47368421052631576,sex,ndsc_macro
0.7,0.9375,0.0625,White,Black,1.0,0.9375,race_wb,dice_macro
0.75,0.9555288461538461,0.04363207547169812,White,Black,0.9811320754716981,0.9375,race_wb,dice_macro
0.8,0.99375,0.005896226415094352,White,Black,0.9433962264150944,0.9375,race_wb,dice_macro
0.85,0.8833333333333333,0.09905660377358494,White,Black,0.8490566037735849,0.75,race_wb,dice_macro
0.9,0.747983870967742,0.14740566037735847,White,Black,0.5849056603773585,0.4375,race_wb,dice_macro
2.0,0.7794117647058824,0.14150943396226412,White,Black,0.6415094339622641,0.5,race_wb,hd95_macro
5.0,0.8641304347826086,0.11792452830188682,White,Black,0.8679245283018868,0.75,race_wb,hd95_macro
10.0,0.8443627450980392,0.14976415094339623,White,Black,0.9622641509433962,0.8125,race_wb,hd95_macro
0.7,0.9375,0.0625,White,Black,1.0,0.9375,race_wb,ndsc_macro
0.75,0.9375,0.0625,White,Black,1.0,0.9375,race_wb,ndsc_macro
0.8,0.9555288461538461,0.04363207547169812,White,Black,0.9811320754716981,0.9375,race_wb,ndsc_macro
0.85,0.828125,0.1556603773584906,White,Black,0.9056603773584906,0.75,race_wb,ndsc_macro
0.9,0.7026515151515151,0.18514150943396224,White,Black,0.6226415094339622,0.4375,race_wb,ndsc_macro
0.7,0.9375,0.0625,Other,Black,1.0,0.9375,race_wbo,dice_macro
0.75,0.9375,0.0625,Other,Black,1.0,0.9375,race_wbo,dice_macro
0.8,0.9375,0.0625,Other,Black,1.0,0.9375,race_wbo,dice_macro
0.85,0.75,0.25,Other,Black,1.0,0.75,race_wbo,dice_macro
0.9,0.747983870967742,0.14740566037735847,White,Black,0.5849056603773585,0.4375,race_wbo,dice_macro
2.0,0.7794117647058824,0.14150943396226412,White,Black,0.6415094339622641,0.5,race_wbo,hd95_macro
5.0,0.8641304347826086,0.11792452830188682,White,Black,0.8679245283018868,0.75,race_wbo,hd95_macro
10.0,0.8125,0.1875,Other,Black,1.0,0.8125,race_wbo,hd95_macro
0.7,0.9375,0.0625,Other,Black,1.0,0.9375,race_wbo,ndsc_macro
0.75,0.9375,0.0625,White,Black,1.0,0.9375,race_wbo,ndsc_macro
0.8,0.9375,0.0625,Other,Black,1.0,0.9375,race_wbo,ndsc_macro
0.85,0.75,0.25,Other,Black,1.0,0.75,race_wbo,ndsc_macro
0.9,0.7026515151515151,0.18514150943396224,White,Black,0.6226415094339622,0.4375,race_wbo,ndsc_macro
0.7,0.9565217391304348,0.04347826086956519,White,Non-White,1.0,0.9565217391304348,race_wn,dice_macro
0.75,0.9749163879598662,0.024610336341263306,White,Non-White,0.9811320754716981,0.9565217391304348,race_wn,dice_macro
0.8,0.9862778730703259,0.01312551271534046,Non-White,White,0.9565217391304348,0.9433962264150944,race_wn,dice_macro
0.85,0.9729468599033816,0.022969647251845804,White,Non-White,0.8490566037735849,0.8260869565217391,race_wn,dice_macro
0.9,0.817671809256662,0.10664479081214107,White,Non-White,0.5849056603773585,0.4782608695652174,race_wn,dice_macro
2.0,0.8132992327365729,0.11977030352748153,White,Non-White,0.6415094339622641,0.5217391304347826,race_wn,hd95_macro
5.0,0.9017013232514178,0.08531583264971287,White,Non-White,0.8679245283018868,0.782608695652174,race_wn,hd95_macro
10.0,0.9036658141517476,0.09269893355209191,White,Non-White,0.9622641509433962,0.8695652173913043,race_wn,hd95_macro
0.7,0.9565217391304348,0.04347826086956519,White,Non-White,1.0,0.9565217391304348,race_wn,ndsc_macro
0.75,0.9565217391304348,0.04347826086956519,White,Non-White,1.0,0.9565217391304348,race_wn,ndsc_macro
0.8,0.9749163879598662,0.024610336341263306,White,Non-White,0.9811320754716981,0.9565217391304348,race_wn,ndsc_macro
0.85,0.9121376811594203,0.07957342083675145,White,Non-White,0.9056603773584906,0.8260869565217391,race_wn,ndsc_macro
0.9,0.7681159420289856,0.14438063986874483,White,Non-White,0.6226415094339622,0.4782608695652174,race_wn,ndsc_macro
0.7,0.9523809523809523,0.04761904761904767,40-60,<40,1.0,0.9523809523809523,age_3bin,dice_macro
0.75,0.9523809523809523,0.04761904761904767,60+,<40,1.0,0.9523809523809523,age_3bin,dice_macro
0.8,0.9560439560439561,0.04244031830238726,40-60,60+,0.9655172413793104,0.9230769230769231,age_3bin,dice_macro
0.85,0.8579881656804734,0.12732095490716178,40-60,60+,0.896551724137931,0.7692307692307693,age_3bin,dice_macro
0.9,0.4543269230769231,0.4157509157509157,<40,60+,0.7619047619047619,0.34615384615384615,age_3bin,dice_macro
2.0,0.8721804511278195,0.08374384236453203,40-60,<40,0.6551724137931034,0.5714285714285714,age_3bin,hd95_macro
5.0,0.9390476190476191,0.05254515599343179,40-60,<40,0.8620689655172413,0.8095238095238095,age_3bin,hd95_macro
10.0,0.9692307692307693,0.0293040293040292,<40,60+,0.9523809523809523,0.9230769230769231,age_3bin,hd95_macro
0.7,0.9523809523809523,0.04761904761904767,60+,<40,1.0,0.9523809523809523,age_3bin,ndsc_macro
0.75,0.9523809523809523,0.04761904761904767,60+,<40,1.0,0.9523809523809523,age_3bin,ndsc_macro
0.8,0.9523809523809523,0.04761904761904767,60+,<40,1.0,0.9523809523809523,age_3bin,ndsc_macro
0.85,0.9088319088319089,0.08488063660477452,40-60,60+,0.9310344827586207,0.8461538461538461,age_3bin,ndsc_macro
0.9,0.4276018099547511,0.4633699633699634,<40,60+,0.8095238095238095,0.34615384615384615,age_3bin,ndsc_macro
0.7,0.9722222222222222,0.02777777777777779,>=53,<53,1.0,0.9722222222222222,age_median,dice_macro
0.75,0.9444444444444444,0.05555555555555558,>=53,<53,1.0,0.9444444444444444,age_median,dice_macro
0.8,0.9954954954954955,0.004273504273504258,>=53,<53,0.9487179487179487,0.9444444444444444,age_median,dice_macro
0.85,0.8942307692307693,0.09401709401709402,<53,>=53,0.8888888888888888,0.7948717948717948,age_median,dice_macro
0.9,0.5680473372781065,0.31196581196581197,<53,>=53,0.7222222222222222,0.41025641025641024,age_median,dice_macro
2.0,0.965034965034965,0.021367521367521403,<53,>=53,0.6111111111111112,0.5897435897435898,age_median,hd95_macro
5.0,0.9848484848484849,0.012820512820512775,>=53,<53,0.8461538461538461,0.8333333333333334,age_median,hd95_macro
10.0,0.9230769230769231,0.07478632478632474,<53,>=53,0.9722222222222222,0.8974358974358975,age_median,hd95_macro
0.7,0.9722222222222222,0.02777777777777779,>=53,<53,1.0,0.9722222222222222,age_median,ndsc_macro
0.75,0.9722222222222222,0.02777777777777779,>=53,<53,1.0,0.9722222222222222,age_median,ndsc_macro
