test,p_raw,p_fdr
silver__dice_vb__sex,0.3211380656307672,0.4817070984461508
silver__dice_disc__sex,0.7671703139827026,0.8648704337575808
silver__dice_macro__sex,0.5926369851497477,0.7180025012391175
silver__hd95_vb__sex,0.861169606685174,0.875237631012238
silver__hd95_disc__sex,0.8585084056638734,0.875237631012238
silver__hd95_macro__sex,0.8504160624940436,0.875237631012238
silver__ndsc_vb__sex,0.04781044009841304,0.20140239325372827
silver__ndsc_disc__sex,0.17851608438717015,0.34080343383005207
silver__ndsc_macro__sex,0.09339067572681027,0.2674369350358658
silver__dice_vb__race_wb,0.13733238018338112,0.32750252299344607
silver__dice_disc__race_wb,0.2830594974941262,0.4349450815153646
silver__dice_macro__race_wb,0.15715417729822825,0.32750252299344607
silver__hd95_vb__race_wb,0.36920698638093086,0.5286372759545147
silver__hd95_disc__race_wb,0.08000867248499287,0.24002601745497862
silver__hd95_macro__race_wb,0.1558956064781419,0.32750252299344607
silver__ndsc_vb__race_wb,0.2351419877880675,0.399514519076979
silver__ndsc_disc__race_wb,0.25239038522915036,0.399514519076979
silver__ndsc_macro__race_wb,0.14897986300154115,0.32750252299344607
silver__dice_vb__race_wbo,0.14108609148218498,0.32750252299344607
silver__dice_disc__race_wbo,0.2536600121123676,0.399514519076979
silver__dice_macro__race_wbo,0.19891903264925725,0.3685852663795061
silver__hd95_vb__race_wbo,0.3842561856169566,0.5379586598637393
silver__hd95_disc__race_wbo,0.06484874160267078,0.2358568686564803
silver__hd95_macro__race_wbo,0.16115203512375917,0.32750252299344607
silver__ndsc_vb__race_wbo,0.17001998365645427,0.33472684282364434
silver__ndsc_disc__race_wbo,0.21808356433985848,0.39255041581174527
silver__ndsc_macro__race_wbo,0.14133069972173035,0.32750252299344607
silver__dice_vb__race_wn,0.564174760384719,0.710860198084746
silver__dice_disc__race_wn,0.7515523756175081,0.8648704337575808
silver__dice_macro__race_wn,0.4832858108611041,0.6478086400904162
silver__hd95_vb__race_wn,0.7935367044729266,0.8737352901303259
silver__hd95_disc__race_wn,0.42304235440674054,0.5793840940787969
silver__hd95_macro__race_wn,0.5188696547343219,0.6810164218387975
silver__ndsc_vb__race_wn,0.7687737188956273,0.8648704337575808
silver__ndsc_disc__race_wn,0.7429872800944344,0.8648704337575808
silver__ndsc_macro__race_wn,0.5489958490316982,0.7058518058978976
silver__dice_vb__age_3bin,0.005262555892351915,0.03315410212181707
silver__dice_disc__age_3bin,0.0045959754644049585,0.032171828250834714
silver__dice_macro__age_3bin,0.0033392087423816897,0.02629626884625581
silver__hd95_vb__age_3bin,0.1473292610415382,0.32750252299344607
silver__hd95_disc__age_3bin,0.013900862633366958,0.07297952882517653
silver__hd95_macro__age_3bin,0.02604429815501028,0.1262146756742806
silver__ndsc_vb__age_3bin,0.00028160388529237213,0.008870522386709722
silver__ndsc_disc__age_3bin,0.0010951067027170458,0.013798344454234777
silver__ndsc_macro__age_3bin,0.00024698999579481133,0.008870522386709722
silver__dice_vb__age_median,0.0479529507746972,0.20140239325372827
silver__dice_disc__age_median,0.0024645928610856392,0.023788928381268122
silver__dice_macro__age_median,0.006525875010363963,0.03737546596844815
silver__hd95_vb__age_median,0.3337240492390636,0.48894453725723275
silver__hd95_disc__age_median,0.07528442069531273,0.2371459251902351
silver__hd95_macro__age_median,0.15530754052315304,0.32750252299344607
silver__ndsc_vb__age_median,0.0026432142645853468,0.023788928381268122
silver__ndsc_disc__age_median,0.0007896366461258611,0.012436777176482313
silver__ndsc_macro__age_median,0.0007896366461258611,0.012436777176482313
silver__dice_vb__ethnicity,0.9387540167261408,0.9387540167261408
silver__dice_disc__ethnicity,0.0711314365789385,0.2358568686564803
silver__dice_macro__ethnicity,0.2522538252900959,0.399514519076979
silver__hd95_vb__ethnicity,0.8613449702025199,0.875237631012238
silver__hd95_disc__ethnicity,0.06828937443902185,0.2358568686564803
silver__hd95_macro__ethnicity,0.5806693008889808,0.7172973716863881
silver__ndsc_vb__ethnicity,0.8043912194850619,0.8737352901303259
silver__ndsc_disc__ethnicity,0.0711314365789385,0.2358568686564803
silver__ndsc_macro__ethnicity,0.22434787690348362,0.3926087845810964
