threshold,dir,dpd,best_group,worst_group,best_rate,worst_rate,grouping,score
0.7,1.0,0.0,Female,Female,1.0,1.0,sex,dice_macro
0.75,1.0,0.0,Male,Male,1.0,1.0,sex,dice_macro
0.8,1.0,0.0,Male,Male,1.0,1.0,sex,dice_macro
0.85,1.0,0.0,Female,Female,1.0,1.0,sex,dice_macro
0.9,0.9736842105263158,0.02631578947368418,Male,Female,1.0,0.9736842105263158,sex,dice_macro
2.0,0.9189189189189189,0.07894736842105265,Male,Female,0.9736842105263158,0.8947368421052632,sex,hd95_macro
5.0,1.0,0.0,Female,Female,1.0,1.0,sex,hd95_macro
10.0,1.0,0.0,Male,Male,1.0,1.0,sex,hd95_macro
0.7,1.0,0.0,Female,Female,1.0,1.0,sex,ndsc_macro
0.75,1.0,0.0,Female,Female,1.0,1.0,sex,ndsc_macro
0.8,1.0,0.0,Female,Female,1.0,1.0,sex,ndsc_macro
0.85,1.0,0.0,Male,Male,1.0,1.0,sex,ndsc_macro
0.9,1.0,0.0,Female,Female,1.0,1.0,sex,ndsc_macro
0.7,1.0,0.0,Black,Black,1.0,1.0,race_wb,dice_macro
0.75,1.0,0.0,Black,Black,1.0,1.0,race_wb,dice_macro
0.8,1.0,0.0,White,White,1.0,1.0,race_wb,dice_macro
0.85,1.0,0.0,Black,Black,1.0,1.0,race_wb,dice_macro
0.9,0.9811320754716981,0.018867924528301883,Black,White,1.0,0.9811320754716981,race_wb,dice_macro
2.0,0.9861635220125786,0.01297169811320753,Black,White,0.9375,0.9245283018867925,race_wb,hd95_macro
5.0,1.0,0.0,White,White,1.0,1.0,race_wb,hd95_macro
10.0,1.0,0.0,White,White,1.0,1.0,race_wb,hd95_macro
0.7,1.0,0.0,Black,Black,1.0,1.0,race_wb,ndsc_macro
0.75,1.0,0.0,Black,Black,1.0,1.0,race_wb,ndsc_macro
0.8,1.0,0.0,Black,Black,1.0,1.0,race_wb,ndsc_macro
0.85,1.0,0.0,White,White,1.0,1.0,race_wb,ndsc_macro
0.9,1.0,0.0,Black,Black,1.0,1.0,race_wb,ndsc_macro
0.7,1.0,0.0,White,White,1.0,1.0,race_wbo,dice_macro
0.75,1.0,0.0,Black,Black,1.0,1.0,race_wbo,dice_macro
0.8,1.0,0.0,White,White,1.0,1.0,race_wbo,dice_macro
0.85,1.0,0.0,White,White,1.0,1.0,race_wbo,dice_macro
0.9,0.9811320754716981,0.018867924528301883,Other,White,1.0,0.9811320754716981,race_wbo,dice_macro
2.0,0.9245283018867925,0.07547169811320753,Other,White,1.0,0.9245283018867925,race_wbo,hd95_macro
5.0,1.0,0.0,Black,Black,1.0,1.0,race_wbo,hd95_macro
10.0,1.0,0.0,Other,Other,1.0,1.0,race_wbo,hd95_macro
0.7,1.0,0.0,White,White,1.0,1.0,race_wbo,ndsc_macro
0.75,1.0,0.0,White,White,1.0,1.0,race_wbo,ndsc_macro
0.8,1.0,0.0,Black,Black,1.0,1.0,race_wbo,ndsc_macro
0.85,1.0,0.0,Other,Other,1.0,1.0,race_wbo,ndsc_macro
0.9,1.0,0.0,White,White,1.0,1.0,race_wbo,ndsc_macro
0.7,1.0,0.0,Non-White,Non-White,1.0,1.0,race_wn,dice_macro
0.75,1.0,0.0,Non-White,Non-White,1.0,1.0,race_wn,dice_macro
0.8,1.0,0.0,White,White,1.0,1.0,race_wn,dice_macro
0.85,1.0,0.0,White,White,1.0,1.0,race_wn,dice_macro
0.9,0.9811320754716981,0.018867924528301883,Non-White,White,1.0,0.9811320754716981,race_wn,dice_macro
2.0,0.9665523156089194,0.03199343724364234,Non-White,White,0.9565217391304348,0.9245283018867925,race_wn,hd95_macro
5.0,1.0,0.0,White,White,1.0,1.0,race_wn,hd95_macro
10.0,1.0,0.0,Non-White,Non-White,1.0,1.0,race_wn,hd95_macro
0.7,1.0,0.0,Non-White,Non-White,1.0,1.0,race_wn,ndsc_macro
0.75,1.0,0.0,White,White,1.0,1.0,race_wn,ndsc_macro
0.8,1.0,0.0,White,White,1.0,1.0,race_wn,ndsc_macro
0.85,1.0,0.0,White,White,1.0,1.0,race_wn,ndsc_macro
0.9,1.0,0.0,White,White,1.0,1.0,race_wn,ndsc_macro
0.7,1.0,0.0,60+,60+,1.0,1.0,age_3bin,dice_macro
