threshold,dir,dpd,best_group,worst_group,best_rate,worst_rate,grouping,score
0.7,0.9824561403508771,0.01754385964912286,Female,Male,1.0,0.9824561403508771,sex,dice_macro
0.75,0.9824561403508771,0.01754385964912286,Female,Male,1.0,0.9824561403508771,sex,dice_macro
0.8,0.9911504424778761,0.00877192982456143,Female,Male,0.9912280701754386,0.9824561403508771,sex,dice_macro
0.85,0.9818181818181818,0.01754385964912286,Male,Female,0.9649122807017544,0.9473684210526315,sex,dice_macro
0.9,0.93,0.06140350877192979,Female,Male,0.8771929824561403,0.8157894736842105,sex,dice_macro
2.0,0.9896907216494845,0.00877192982456143,Female,Male,0.8508771929824561,0.8421052631578947,sex,hd95_macro
5.0,0.9907407407407408,0.00877192982456132,Female,Male,0.9473684210526315,0.9385964912280702,sex,hd95_macro
10.0,0.9823008849557523,0.01754385964912275,Female,Male,0.9912280701754386,0.9736842105263158,sex,hd95_macro
0.7,0.9912280701754386,0.00877192982456143,Female,Male,1.0,0.9912280701754386,sex,ndsc_macro
0.75,0.9824561403508771,0.01754385964912286,Female,Male,1.0,0.9824561403508771,sex,ndsc_macro
0.8,0.9824561403508771,0.01754385964912286,Female,Male,1.0,0.9824561403508771,sex,ndsc_macro
0.85,0.9729729729729729,0.026315789473684292,Female,Male,0.9736842105263158,0.9473684210526315,sex,ndsc_macro
0.9,0.8857142857142857,0.10526315789473684,Female,Male,0.9210526315789473,0.8157894736842105,sex,ndsc_macro
0.7,0.9692307692307692,0.03076923076923077,White,Black,1.0,0.9692307692307692,race_wb,dice_macro
0.75,0.9692307692307692,0.03076923076923077,White,Black,1.0,0.9692307692307692,race_wb,dice_macro
0.8,0.9760086067778375,0.02382478632478635,White,Black,0.9930555555555556,0.9692307692307692,race_wb,dice_macro
0.85,0.9722191477587161,0.026816239316239332,White,Black,0.9652777777777778,0.9384615384615385,race_wb,dice_macro
0.9,0.926125478927203,0.06591880341880352,Black,White,0.8923076923076924,0.8263888888888888,race_wb,dice_macro
2.0,0.9582115009746589,0.036645299145299126,Black,White,0.8769230769230769,0.8402777777777778,race_wb,hd95_macro
5.0,0.9702414373947221,0.02831196581196571,White,Black,0.9513888888888888,0.9230769230769231,race_wb,hd95_macro
10.0,0.9828819068255688,0.01688034188034193,White,Black,0.9861111111111112,0.9692307692307692,race_wb,hd95_macro
0.7,0.9846153846153847,0.01538461538461533,White,Black,1.0,0.9846153846153847,race_wb,ndsc_macro
0.75,0.9692307692307692,0.03076923076923077,White,Black,1.0,0.9692307692307692,race_wb,ndsc_macro
0.8,0.9692307692307692,0.03076923076923077,White,Black,1.0,0.9692307692307692,race_wb,ndsc_macro
0.85,0.9427168576104747,0.0560897435897435,White,Black,0.9791666666666666,0.9230769230769231,race_wb,ndsc_macro
0.9,0.9819688109161794,0.015811965811965756,Black,White,0.8769230769230769,0.8611111111111112,race_wb,ndsc_macro
0.7,0.9692307692307692,0.03076923076923077,White,Black,1.0,0.9692307692307692,race_wbo,dice_macro
0.75,0.9692307692307692,0.03076923076923077,Other,Black,1.0,0.9692307692307692,race_wbo,dice_macro
0.8,0.9692307692307692,0.03076923076923077,Other,Black,1.0,0.9692307692307692,race_wbo,dice_macro
0.85,0.9722191477587161,0.026816239316239332,White,Black,0.9652777777777778,0.9384615384615385,race_wbo,dice_macro
0.9,0.926125478927203,0.06591880341880352,Black,White,0.8923076923076924,0.8263888888888888,race_wbo,dice_macro
2.0,0.9002770083102494,0.08744939271255059,Black,Other,0.8769230769230769,0.7894736842105263,race_wbo,hd95_macro
5.0,0.9702414373947221,0.02831196581196571,White,Black,0.9513888888888888,0.9230769230769231,race_wbo,hd95_macro
10.0,0.9692307692307692,0.03076923076923077,Other,Black,1.0,0.9692307692307692,race_wbo,hd95_macro
0.7,0.9846153846153847,0.01538461538461533,White,Black,1.0,0.9846153846153847,race_wbo,ndsc_macro
0.75,0.9692307692307692,0.03076923076923077,White,Black,1.0,0.9692307692307692,race_wbo,ndsc_macro
